# traces ,# t > 4.5 t,max
58600,53664,176.5677
58700,53759,176.8588
58800,53744,176.8089
58900,53803,177.0447
59000,53853,177.043
59100,53876,177.2857
59200,53913,177.5608
59300,53892,177.7389
59400,53899,177.7041
59500,53910,177.8457
59600,53920,177.9424
59700,53924,178.1598
59800,53937,178.3095
59900,53957,178.4418
60000,53989,178.6137
60100,54030,178.7885
60200,54019,178.8751
60300,54092,179.0343
60400,54132,179.2802
60500,54173,179.4203
60600,54148,179.5682
60700,54187,179.774
60800,54199,179.9687
60900,54121,180.0937
61000,54144,180.3579
61100,54235,180.5617
61200,54164,180.6574
61300,54195,180.8716
61400,54248,181.0639
61500,54281,181.2431
61600,54349,181.4679
61700,54335,181.636
61800,54312,181.7844
61900,54320,182.0244
62000,54388,182.1093
62100,54431,182.0843
62200,54487,182.276
62300,54480,182.4352
62400,54451,182.6027
62500,54489,182.6096
62600,54480,182.7678
62700,54478,182.9341
62800,54499,183.0881
62900,54538,183.3653
63000,54560,183.4768
63100,54613,183.5887
63200,54625,183.7413
63300,54651,183.9391
63400,54572,184.1012
63500,54636,184.2418
63600,54671,184.4569
63700,54671,184.5764
63800,54707,184.7456
63900,54701,184.8759
64000,54747,184.9641
64100,54770,185.1747
64200,54823,185.268
64300,54843,185.3815
64400,54901,185.6098
64500,54941,185.8379
64600,54960,185.9281
64700,55015,186.0893
64800,55024,186.2986
64900,55035,186.5087
65000,55056,186.6058
65100,55006,186.6536
65200,55090,186.6166
65300,55132,186.825
65400,55158,187.0733
65500,55126,187.0923
65600,55135,187.3499
65700,55198,187.557
65800,55245,187.606
65900,55283,187.8439
66000,55295,188.0749
66100,55328,188.2835
66200,55325,188.4485
66300,55380,188.6569
66400,55388,188.8501
66500,55391,189.071
66600,55430,189.1979
66700,55448,189.3162
66800,55422,189.3088
66900,55440,189.4796
67000,55465,189.5907
67100,55429,189.6204
67200,55464,189.7566
67300,55508,189.9263
67400,55499,190.1363
67500,55504,190.3059
67600,55580,190.5413
67700,55549,190.5252
67800,55583,190.632
67900,55612,190.8525
68000,55612,191.0516
68100,55671,191.2166
68200,55678,191.4069
68300,55699,191.5449
68400,55706,191.5933
68500,55681,191.6177
68600,55704,191.8054
68700,55722,191.8857
68800,55775,192.12
68900,55834,192.3696
69000,55840,192.4176
69100,55855,192.5795
69200,55851,192.439
69300,55844,192.6526
69400,55861,192.5307
69500,55900,192.6888
69600,55901,192.8958
69700,55977,193.0901
69800,56024,193.2405
69900,56003,193.4046
70000,56024,193.6379
70100,56058,193.882
70200,56130,194.0787
70300,56167,194.0648
70400,56213,194.2985
70500,56234,194.4995
70600,56281,194.6843
70700,56302,194.6354
70800,56341,194.7409
70900,56366,194.9206
71000,56367,195.1452
71100,56332,195.27
71200,56356,195.5043
71300,56395,195.735
71400,56389,195.8849
71500,56448,195.9103
71600,56479,196.0247
71700,56481,196.2092
71800,56528,196.3688
71900,56557,196.6048
72000,56573,196.7492
72100,56605,196.8327
72200,56633,196.8153
72300,56663,196.9436
72400,56703,196.9733
72500,56710,197.1163
72600,56713,197.2856
72700,56738,197.3223
72800,56752,197.4848
72900,56757,197.7356
73000,56788,197.9272
73100,56808,198.0701
73200,56785,198.2579
73300,56829,198.4902
73400,56810,198.5833
73500,56795,198.5921
73600,56822,198.704
73700,56826,198.8589
73800,56822,198.9356
73900,56845,199.0183
74000,56877,199.1087
74100,56888,199.2815
74200,56935,199.4302
74300,56936,199.5941
74400,56948,199.6434
74500,56976,199.8529
74600,57008,200.101
74700,57044,200.2813
74800,57079,200.4763
74900,57108,200.6286
75000,57158,200.8249
75100,57203,200.9544
75200,57191,200.9823
75300,57149,201.1745
75400,57179,201.2825
75500,57227,201.5146
75600,57251,201.6313
75700,57350,201.898
75800,57405,201.8672
75900,57417,202.0217
76000,57425,202.1443
76100,57460,202.4112
76200,57471,202.5402
76300,57407,202.6765
76400,57478,202.9151
76500,57493,203.1014
76600,57520,203.3249
76700,57549,203.5143
76800,57566,203.4982
76900,57508,203.454
77000,57542,203.6465
77100,57471,203.8117
77200,57483,203.9664
77300,57498,204.0915
77400,57546,204.247
77500,57560,204.4157
77600,57581,204.67
77700,57563,204.8805
77800,57589,204.9409
77900,57616,205.0995
78000,57612,205.1852
78100,57678,205.2935
78200,57696,205.4141
78300,57653,205.4072
78400,57678,205.6257
78500,57668,205.7449
78600,57690,205.9401
78700,57737,206.0448
78800,57785,206.1067
